nLocations = 16;
ls = 1;
fromPoints = 1;
points = [
[ 125 125 ]
[ 202 234 ]
[ 176 30 ]
[ 172 52 ]
[ 189 247 ]
[ 135 85 ]
[ 77 247 ]
[ 204 194 ]
[ 44 232 ]
[ 109 120 ]
[ 16 150 ]
[ 178 235 ]
[ 218 234 ]
[ 145 80 ]
[ 152 152 ]
[ 128 22 ]
];
dist = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
];
t = [ 0 34 20 23 58 54 41 50 30 25 47 41 28 48 38 33 ];
minWin = [ 0 153 234 121 121 162 141 143 231 173 211 167 181 252 173 193 ];
maxWin = [ 720 631 646 530 595 500 615 507 617 457 614 475 557 501 476 631 ];
