nLocations = 16
startLocation = 0
fromPoints = 1
points = [
[ 125 125 ]
[ 93 224 ]
[ 218 128 ]
[ 81 94 ]
[ 208 117 ]
[ 5 135 ]
[ 54 104 ]
[ 47 215 ]
[ 121 225 ]
[ 14 46 ]
[ 231 29 ]
[ 195 234 ]
[ 211 91 ]
[ 230 179 ]
[ 144 56 ]
[ 79 0 ]
]
distance = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
]
task = [ 0 30 37 27 43 40 29 22 22 34 47 47 38 52 27 57 ]
minWindow = [ 0 242 154 220 297 199 127 250 162 211 246 255 269 204 139 284 ]
maxWindow = [ 720 604 477 594 544 624 646 480 493 608 530 596 449 421 578 434 ]
