nLocations = 16;
ls = 1;
fromPoints = 1;
points = [
[ 125 125 ]
[ 93 224 ]
[ 218 128 ]
[ 81 94 ]
[ 208 117 ]
[ 5 135 ]
[ 54 104 ]
[ 47 215 ]
[ 121 225 ]
[ 14 46 ]
[ 231 29 ]
[ 195 234 ]
[ 211 91 ]
[ 230 179 ]
[ 144 56 ]
[ 79 0 ]
];
dist = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
];
t = [ 0 30 37 27 43 40 29 22 22 34 47 47 38 52 27 57 ];
minWin = [ 0 242 154 220 297 199 127 250 162 211 246 255 269 204 139 284 ];
maxWin = [ 720 604 477 594 544 624 646 480 493 608 530 596 449 421 578 434 ];
