nLocations = 10
startLocation = 0
fromPoints = 1
points = [
[ 125 125 ]
[ 56 116 ]
[ 233 7 ]
[ 83 234 ]
[ 218 223 ]
[ 3 89 ]
[ 230 83 ]
[ 14 249 ]
[ 224 43 ]
[ 9 41 ]
]
distance = [
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
]
task = [ 0 57 35 29 38 46 26 39 37 44 ]
minWindow = [ 0 290 109 135 252 211 108 169 285 231 ]
maxWindow = [ 720 411 647 410 416 463 446 571 586 467 ]
