nLocations = 15;
ls = 1;
fromPoints = 1;
points = [
[ 125 125 ]
[ 91 40 ]
[ 30 174 ]
[ 243 76 ]
[ 195 228 ]
[ 155 89 ]
[ 85 13 ]
[ 199 96 ]
[ 34 240 ]
[ 21 8 ]
[ 23 15 ]
[ 60 71 ]
[ 156 9 ]
[ 13 165 ]
[ 17 161 ]
];
dist = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
];
t = [ 0 45 34 44 36 24 28 41 42 31 48 24 45 45 40 ];
minWin = [ 0 195 196 184 129 128 123 212 286 270 171 163 189 105 209 ];
maxWin = [ 720 405 565 561 519 426 608 483 413 570 466 628 594 633 532 ];
