nLocations = 10;
ls = 1;
fromPoints = 1;
points = [
[ 125 125 ]
[ 56 116 ]
[ 233 7 ]
[ 83 234 ]
[ 218 223 ]
[ 3 89 ]
[ 230 83 ]
[ 14 249 ]
[ 224 43 ]
[ 9 41 ]
];
dist = [
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 ]
];
t = [ 0 57 35 29 38 46 26 39 37 44 ];
minWin = [ 0 290 109 135 252 211 108 169 285 231 ];
maxWin = [ 720 411 647 410 416 463 446 571 586 467 ];
