nLocations = 11
startLocation = 0
fromPoints = 1

points = [
[ 180 180 ]
[ 81 58 ]
[ 150 72 ]
[ 244 235 ]
[ 197 343 ]
[ 226 28 ]
[ 107 348 ]
[ 20 19 ]
[ 96 16 ]
[ 34 300 ]
[ 84 246 ] ]

distance = [
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ] ]

task = [ 0 18 13 16 30 12 25 25 18 10 30 ]
minWindow = [ 0 37 0 0 44 39 63 107 64 69 0 ]
maxWindow = [ 720 556 615 282 627 602 401 365 491 521 720 ]
