nLocations = 14
startLocation = 0
fromPoints = 1
points = [
[ 125 125 ]
[ 230 160 ]
[ 143 67 ]
[ 141 89 ]
[ 226 74 ]
[ 249 49 ]
[ 166 163 ]
[ 178 100 ]
[ 17 190 ]
[ 51 213 ]
[ 5 40 ]
[ 149 7 ]
[ 96 81 ]
[ 151 210 ]
]
distance = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
]
task = [ 0 51 50 34 48 25 24 44 58 36 56 27 20 56 ]
minWindow = [ 0 259 155 202 128 260 299 159 158 278 113 232 191 270 ]
maxWindow = [ 720 627 538 638 551 439 454 559 592 470 637 622 415 466 ]
