nLocations = 11
startLocation = 0
fromPoints = 1

points = [
[ 180 180 ]
[ 31 153 ]
[ 283 197 ]
[ 322 140 ]
[ 155 22 ]
[ 265 224 ]
[ 312 109 ]
[ 225 40 ]
[ 276 184 ]
[ 296 304 ]
[ 255 264 ] ]
distance = [
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 ] ]
task = [ 0 18 18 21 26 8 19 8 18 10 7 ]
minWindow = [ 0 126 71 247 221 53 183 112 187 247 88 ]
maxWindow = [ 720 234 139 327 310 167 269 178 247 307 192 ]
